X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1717373.367,6055679.497,552615,,502001,0,0,0,0,0,North,2021/2022,SH 1,SALEYARDS ROAD,,Non-Injury Crash,Yes,2022,0,South,0,0,0,Flat,0,,0,,0,Overcast,64200,0,0,0,2,0,0,0,0,0,,0,1,Northland Region,Nil,2-way,Sealed,0,0,0,0,80,0,Off,0,0,,2,Whangarei District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1574778.633,5183589.107,552617,,592820,0,,0,2,,Null,2021/2022,NEW BRIGHTON ROAD,BASSETT STREET,,Non-Injury Crash,No,2021,,West,,0,,Flat,,,,,,Dark,2604803,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,On,0,0,,60,Christchurch City,Give way,,,,,0,0,Urban,0,,,Fine,Null
1576302.299,5186562.581,552619,,590603,0,0,0,1,0,South,2021/2022,FOREST DRIVE,LANDFILL ROAD,,Non-Injury Crash,No,2021,0,South,0,0,0,Flat,0,,0,,0,Bright sun,2504203,0,0,0,1,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,60,Christchurch City,Nil,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1749869.641,5913593.411,552620,,511303,0,,0,2,,Null,2021/2022,RANKIN AVENUE,AMBRICO PLACE,,Non-Injury Crash,No,2021,,North,,0,,Flat,,,,,,Overcast,265001,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Fine,Null
1759385.91,5908323.049,552622,,524121,0,,0,1,,Null,2020/2021,BADER DRIVE,BADER DRIVE,,Non-Injury Crash,No,2021,,South,,0,,Flat,,,,,,Dark,737200,0,0,0,1,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,60,,On,0,0,,76,Auckland,Nil,,,,,0,0,Urban,1,,,Fine,Null
1881604.474,5828345.991,552623,,536810,0,0,0,0,0,North,2020/2021,MAUNGANUI ROAD,HINAU STREET,,Non-Injury Crash,No,2021,0,South,0,0,1,Flat,0,,0,,0,Dark,1203206,0,0,0,1,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,1,0,,23,Tauranga City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1406136.005,4914270.042,552624,,604410,0,,0,1,,West,2020/2021,MELBOURNE STREET,KING EDWARD STREET,,Non-Injury Crash,No,2021,,East,,0,,Flat,,,,,,Overcast,2932300,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,71,Dunedin City,Nil,,,,,0,0,Urban,1,,,Fine,Null
1751105.451,5913907.235,552625,,514402,0,0,0,1,1,Null,2020/2021,WOLVERTON STREET,ST GEORGES ROAD,,Non-Injury Crash,No,2021,0,South,0,0,0,Hill Road,0,,0,,0,Dark,379700,0,0,0,4,0,0,0,0,0,,1,1,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,30,76,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1891896.786,5781326.871,552626,,538820,0,0,0,1,0,South,2020/2021,SH 33,PARKCLIFF ROAD,,Non-Injury Crash,Yes,2021,0,South,0,0,1,Flat,0,,0,,0,Overcast,1251605,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,80,0,None,0,0,,24,Rotorua District,Nil,0,0,0,1,0,0,Open,0,0,0,Light rain,Null
1782556.57,5870586.142,552627,,521135,0,,0,0,,North,2021/2022,WAIKATO EXPRESSWAY,ORAM ROAD,,Non-Injury Crash,Yes,2021,,South,,0,,Flat,,,,,,Bright sun,843100,0,0,0,2,,,1,,,,,,Waikato Region,Nil,1-way,Sealed,,0,0,,100,,None,0,0,,13,Waikato District,Unknown,,,,,0,0,Open,1,,,Fine,Null
1758501.474,5918346.507,552628,,517400,0,,0,0,,Null,2020/2021,BROADWAY,KHYBER PASS ROAD,,Non-Injury Crash,No,2021,,South,,0,,Flat,,,,,,Unknown,451000,0,0,0,4,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,1,0,,76,Auckland,Traffic Signals,,,,,0,1,Urban,0,,,Null,Null
1754235.372,5444759.634,552629,,570800,0,,0,1,,Null,2020/2021,TITAHI BAY ROAD,LYTTELTON AVENUE,,Non-Injury Crash,No,2021,,South,,0,,Flat,,,,,,Bright sun,2052200,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,70,,Off,0,0,,44,Porirua City,Traffic Signals,,,,,0,0,Urban,1,,,Fine,Null
1751533.903,5435171.532,552630,,573700,0,,0,1,,Null,2021/2022,HELSTON ROAD,MOOREFIELD STREET,,Non-Injury Crash,No,2021,,West,,0,,Null,,,,,,Unknown,2082300,0,0,0,2,,,0,,,,,,Wellington Region,Nil,1-way,Sealed,,0,0,,50,,Null,0,0,,47,Wellington City,Give way,,,,,0,0,Urban,0,,,Null,Null
1767634.094,5908344.619,552631,,523502,0,,0,1,,North,2021/2022,HILLS ROAD,WILLIAMS CRESCENT,,Fatal Crash,No,2022,,North,,1,,Flat,,,,,,Dark,701600,0,0,1,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,On,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1297625.515,5047597.429,552632,,608304,0,0,0,0,0,West,2021/2022,DUBLIN BAY ROAD,LAKE HAWEA-ALBERT TOWN ROAD,,Non-Injury Crash,No,2021,0,East,0,0,0,Flat,0,,0,,0,Overcast,3027700,0,0,0,2,0,1,0,0,0,,0,1,Otago Region,Nil,2-way,Unsealed,0,0,0,0,100,0,None,0,0,,70,Queenstown-Lakes District,Nil,0,0,0,0,1,0,Open,0,0,0,Fine,Null
