X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1862425.3074,5828983.4027,241499,,536620,0,0,0,1,0,West,2019/2020,002-0130,APATA STATION ROAD,,Minor Crash,Yes,2019,0,West,0,0,1,Flat,0,,0,,0,Overcast,1186703,1,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,22,Western Bay of Plenty District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1754776.0109,5443898.9322,241500,,570800,0,,0,2,,South,2019/2020,PORIRUA-TITAHI BAY OFF RAMP,OLD ARAWHATA,,Non-Injury Crash,No,2019,,North,,0,,Null,,,,,,Unknown,2052800,0,0,0,1,,,0,,,,,,Wellington Region,Motorway ramp,1-way,Sealed,,0,0,,100,,Off,0,0,,44,Porirua City,Nil,,,,,0,0,Open,0,,,Fine,Null
1797360.1234,5786137.4408,241501,,527923,0,0,0,1,1,East,2019/2020,POKURU RD,POKURU FACTORY ROAD,,Non-Injury Crash,No,2019,0,North,0,0,0,Hill Road,0,,0,,0,Overcast,983500,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,17,Waipa District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1680054.4357,5404089.8728,241502,,581230,0,,0,0,,Null,2019/2020,ALFRED STREET,SINCLAIR STREET,,Non-Injury Crash,No,2019,,East,,0,,Flat,,,,,,Bright sun,2295000,0,0,0,3,,,0,,,,,,Marlborough Region,Nil,2-way,Sealed,,0,0,,50,,Off,1,0,,53,Marlborough District,Give way,,,,,0,0,Urban,1,,,Fine,Null
1748419.4516,5427213.9604,241503,,573000,0,0,1,0,0,South,2019/2020,WILLIS STREET,GHUZNEE STREET,,Non-Injury Crash,No,2019,0,North,0,0,0,Null,0,,0,,0,Unknown,2129700,0,0,0,2,0,0,0,0,1,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,47,Wellington City,Unknown,0,0,0,0,0,0,Urban,1,0,0,Null,Null
1743496.8026,5918971.3089,241504,,513213,0,0,0,1,0,South,2018/2019,METCALFE RD,ALI PLACE,,Non-Injury Crash,No,2019,0,North,0,0,1,Flat,0,,0,,0,Bright sun,235905,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1756543.1457,5924713.2384,241505,,509702,0,,0,4,,South,2019/2020,01N-0414-D,ONEWA ROAD ON RAMP,,Minor Crash,Yes,2019,,North,,0,,Flat,,,,,,Twilight,366700,1,0,0,4,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,On,0,0,,76,Auckland,Unknown,,,,,0,0,Open,0,,,Light rain,Null
1751331.6838,5915649.7343,241506,,514401,0,,0,2,,West,2018/2019,WALSALL ST,ROBERTON ROAD,,Non-Injury Crash,No,2018,,East,,0,,Hill Road,,,,,,Bright sun,382200,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,None,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1405758.2003,4917248.3524,241507,,603000,0,,0,3,,Null,2019/2020,LONDON STREET,STUART STREET,,Non-Injury Crash,No,2019,,East,,0,,Hill Road,,,,,,Bright sun,2900100,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,71,Dunedin City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1750815.142,5424585.1374,241508,,576901,0,,0,1,,North,2019/2020,COBHAM DRIVE,TROY STREET,,Non-Injury Crash,Yes,2019,,North,,0,,Flat,,,,,,Bright sun,2176800,0,0,0,4,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,70,,Off,0,0,,47,Wellington City,Nil,,,,,1,0,Urban,0,,,Fine,Null
1771567.4763,5581643.0558,241509,,555300,0,0,0,1,0,South,2018/2019,RAPANUI ROAD,SH 3,,Non-Injury Crash,No,2019,0,South,0,0,1,Flat,0,,0,,0,Overcast,1681802,0,0,0,2,0,0,0,0,0,,0,0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,37,Whanganui District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null
1880139.0045,5820678.7333,241510,,538000,0,,0,2,,South,2019/2020,29A-0000/03.14,TAIPARI OBR,,Minor Crash,Yes,2019,,North,,0,,Flat,,,,,,Bright sun,1179403,1,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,100,,Off,0,0,,23,Tauranga City,Unknown,,,,,0,0,Open,1,,,Fine,Null
1936005.3263,5620074.7413,241511,,546600,0,0,0,2,0,North,2019/2020,DOUGLAS MCLEAN AVENUE,LATHAM ST,,Minor Crash,No,2019,0,North,0,0,0,Flat,0,,0,,0,Dark,1436400,1,0,0,2,0,0,0,0,1,,0,0,Hawke's Bay Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,31,Napier City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1747946.5443,5427342.4208,241512,,573200,0,0,0,2,0,South,2019/2020,FAIRLIE TCE,KELBURN PARADE,,Non-Injury Crash,No,2019,0,South,0,0,0,Hill Road,0,,0,,0,Overcast,2157000,0,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,47,Wellington City,Unknown,0,0,0,1,0,0,Urban,0,0,0,Light rain,Null
1822597.6485,5577409.2366,241513,,559220,0,0,0,1,1,East,2018/2019,01N-0885,MURIMOTU ROAD,,Non-Injury Crash,Yes,2018,0,South,0,0,0,Hill Road,0,,0,,0,Overcast,1747900,0,0,0,3,0,0,0,0,0,,0,0,Manawatū-Whanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,38,Rangitikei District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
